 No.,ID,Pos.(X),Pos.(Y),Pos.(Z),Data(X),Data(Y),Data(Z),Main Data,Displacement,Prn Cos(X),Prn Cos(Y),Prn Cos(Z),
2652,15606,2.06906e+01,-4.59872e+00,1.00000e+00,-,-,-,1.59087e+01,5.13854e-02,-,-,-,
2651,15675,1.99907e+01,-4.47272e+00,1.00000e+00,-,-,-,1.37673e+01,5.21905e-02,-,-,-,
2650,15594,3.14928e+01,2.35914e+00,1.00000e+00,-,-,-,9.43813e+00,2.23917e-02,-,-,-,
2649,15493,2.99486e+01,3.53685e+00,1.00000e+00,-,-,-,9.94157e+00,2.57889e-02,-,-,-,
2648,15308,3.29463e+01,-5.00000e+00,1.00000e+00,-,-,-,8.47320e+00,2.92388e-02,-,-,-,
2647,15542,2.78787e+01,4.35187e+00,1.00000e+00,-,-,-,7.72987e+00,3.14335e-02,-,-,-,
2646,15687,2.35756e+01,-3.92680e+00,1.00000e+00,-,-,-,1.98989e+00,4.47985e-02,-,-,-,
2645,15373,2.76537e+01,5.00000e+00,1.00000e+00,-,-,-,1.17565e+01,3.15422e-02,-,-,-,
2644,15624,2.80371e+01,3.12396e+00,1.00000e+00,-,-,-,7.34381e+00,3.18285e-02,-,-,-,
2643,15540,3.09106e+01,3.33229e+00,1.00000e+00,-,-,-,8.17562e+00,2.31476e-02,-,-,-,
2642,15774,3.06970e+01,3.33039e+00,1.00000e+00,-,-,-,8.01639e+00,2.37458e-02,-,-,-,
2641,15407,2.40261e+01,-7.85476e-01,1.00000e+00,-,-,-,9.02868e+00,4.16310e-02,-,-,-,
2640,15547,3.58669e+01,-2.26711e+00,1.00000e+00,-,-,-,9.50841e+00,2.19718e-02,-,-,-,
2639,15346,3.55411e+01,-1.64822e+00,1.00000e+00,-,-,-,9.63092e+00,2.09752e-02,-,-,-,
2638,15692,2.37635e+01,-2.24263e+00,1.00000e+00,-,-,-,7.18288e+00,4.30523e-02,-,-,-,
2637,15529,2.43103e+01,-1.22992e+00,1.00000e+00,-,-,-,8.87352e+00,4.13838e-02,-,-,-,
2636,15713,2.37159e+01,-1.97170e+00,1.00000e+00,-,-,-,8.16936e+00,4.29618e-02,-,-,-,
2635,15736,2.83042e+01,2.71049e+00,1.00000e+00,-,-,-,8.58519e+00,3.15521e-02,-,-,-,
